insects 	 Opisthograptis_luteolata 	 genomic_data 	 ilOpiLute1 	 10x
insects 	 Opisthograptis_luteolata 	 genomic_data 	 ilOpiLute1 	 pacbio
insects 	 Opisthograptis_luteolata 	 genomic_data 	 ilOpiLute2 	 hic-arima2
insects 	 Oplodontha_viridula 	 genomic_data 	 idOplViri1 	 10x
insects 	 Oplodontha_viridula 	 genomic_data 	 idOplViri1 	 pacbio
insects 	 Opostega_salaciella 	 genomic_data 	 ilOpoSala1 	 10x
insects 	 Opostega_salaciella 	 genomic_data 	 ilOpoSala2 	 10x
insects 	 Opsius_stactogalus 	 genomic_data 	 ihOpsStac1 	 10x
insects 	 Opsius_stactogalus 	 genomic_data 	 ihOpsStac1 	 pacbio
insects 	 Orectochilus_villosus 	 genomic_data 	 icOreVill1 	 10x
insects 	 Orgyia_antiqua 	 genomic_data 	 ilOrgAnti1 	 10x
insects 	 Orgyia_antiqua 	 genomic_data 	 ilOrgAnti1 	 hic-arima2
insects 	 Orgyia_antiqua 	 genomic_data 	 ilOrgAnti1 	 pacbio
insects 	 Orgyia_antiqua 	 genomic_data 	 ilOrgAnti2 	 pacbio
insects 	 Orthetrum_cancellatum 	 genomic_data 	 ioOrtCanc1 	 hic-arima2
insects 	 Orthosia_cerasi 	 genomic_data 	 ilOrtCera1 	 hic-arima2
insects 	 Orthosia_cerasi 	 genomic_data 	 ilOrtCera1 	 pacbio
insects 	 Osmia_bicornis 	 genomic_data 	 iOsmBic1 	 10x
insects 	 Osmia_bicornis 	 genomic_data 	 iOsmBic1 	 hic-dnazoo
insects 	 Osmia_bicornis 	 genomic_data 	 iOsmBic2 	 10x
insects 	 Osmia_bicornis 	 genomic_data 	 iOsmBic2 	 pacbio
insects 	 Ostrinia_nubilalis 	 genomic_data 	 ilOstNubi1 	 10x
insects 	 Ostrinia_nubilalis 	 genomic_data 	 ilOstNubi1 	 pacbio
insects 	 Otiorhynchus_singularis 	 genomic_data 	 icOtiSing1 	 hic-arima2
insects 	 Otiorhynchus_sulcatus 	 genomic_data 	 icOtiSulc1 	 10x
insects 	 Otiorhynchus_sulcatus 	 genomic_data 	 icOtiSulc1 	 hic-arima2
insects 	 Otiorhynchus_sulcatus 	 genomic_data 	 icOtiSulc1 	 pacbio
insects 	 Oulema_melanopus 	 genomic_data 	 icOulMela1 	 10x
insects 	 Oulema_melanopus 	 genomic_data 	 icOulMela1 	 pacbio
insects 	 Oxypselaphus_obscurus 	 genomic_data 	 icOxyObsc1 	 hic-arima2
insects 	 Pammene_aurana 	 genomic_data 	 ilPamAura2 	 hic-arima2
insects 	 Pammene_fasciana 	 genomic_data 	 ilPamFasc1 	 10x
insects 	 Pammene_fasciana 	 genomic_data 	 ilPamFasc1 	 pacbio
insects 	 Pammene_fasciana 	 genomic_data 	 ilPamFasc2 	 hic-arima2
insects 	 Pammene_regiana 	 genomic_data 	 ilPamRegi1 	 10x
insects 	 Pammene_regiana 	 genomic_data 	 ilPamRegi1 	 pacbio
insects 	 Pandemis_cerasana 	 genomic_data 	 ilPanCera1 	 10x
insects 	 Pandemis_cerasana 	 genomic_data 	 ilPanCera1 	 hic-arima2
insects 	 Pandemis_cinnamomeana 	 genomic_data 	 ilPanCinn1 	 hic-arima2
insects 	 Pandemis_cinnamomeana 	 genomic_data 	 ilPanCinn1 	 pacbio
insects 	 Pandemis_corylana 	 genomic_data 	 ilPanCory1 	 10x
insects 	 Pandemis_corylana 	 genomic_data 	 ilPanCory1 	 pacbio
insects 	 Panorpa_germanica 	 genomic_data 	 ijPanGerm1 	 10x
insects 	 Pantilius_tunicatus 	 genomic_data 	 ihPanTuni1 	 10x
insects 	 Pantilius_tunicatus 	 genomic_data 	 ihPanTuni1 	 pacbio
insects 	 Papilio_machaon 	 genomic_data 	 ilPapMach1 	 10x
insects 	 Papilio_machaon 	 genomic_data 	 ilPapMach1 	 hic-arima2
insects 	 Papilio_machaon 	 genomic_data 	 ilPapMach1 	 pacbio
insects 	 Paradromius_linearis 	 genomic_data 	 icParLine1 	 hic-arima2
insects 	 Paragus_haemorrhous 	 genomic_data 	 idParHaem1 	 10x
insects 	 Paragus_haemorrhous 	 genomic_data 	 idParHaem1 	 pacbio
insects 	 Parapoynx_stratiotata 	 genomic_data 	 ilParStra1 	 10x
insects 	 Parapoynx_stratiotata 	 genomic_data 	 ilParStra1 	 pacbio
insects 	 Parapoynx_stratiotata 	 genomic_data 	 ilParStra3 	 hic-arima2
insects 	 Pararge_aegeria 	 genomic_data 	 ilParAegt1 	 10x
insects 	 Pararge_aegeria 	 genomic_data 	 ilParAegt1 	 pacbio
insects 	 Pararge_aegeria 	 genomic_data 	 ilParAegt2 	 hic-arima
insects 	 Paromalus_flavicornis 	 genomic_data 	 icParFlav2 	 hic-arima2
insects 	 Patania_ruralis 	 genomic_data 	 ilPatRura1 	 10x
insects 	 Patania_ruralis 	 genomic_data 	 ilPatRura1 	 hic-arima2
insects 	 Patania_ruralis 	 genomic_data 	 ilPatRura1 	 pacbio
insects 	 Pediacus_dermestoides 	 genomic_data 	 icPedDerm2 	 hic-arima2
insects 	 Pegoplata_aestiva 	 genomic_data 	 idPegAest1 	 10x
insects 	 Pegoplata_infirma 	 genomic_data 	 idPegInfi1 	 hic-arima2
insects 	 Peltodytes_caesus 	 genomic_data 	 icPelCaes1 	 10x
insects 	 Peltodytes_caesus 	 genomic_data 	 icPelCaes1 	 pacbio
insects 	 Pemphredon_lugubris 	 genomic_data 	 iyPemLugu1 	 10x
insects 	 Pemphredon_lugubris 	 genomic_data 	 iyPemLugu1 	 hic-arima2
